aou,Trend
22860,-0.735
3100,9.391
4860,2.702
5190,-0.641
6882,-3.317
4230,-2.503
2890,-3.038
4440,-1.493
3131,-0.396
5070,-0.935
4050,1.805
5630,-2.12
3091,0.028
6480,2.06
3390,3.03
7050,-0.89
5110,-1.548
3260,5.453
6220,-2.36
6110,-0.119
7550,-1.949
3880,1.39
4950,-0.451
4090,1.184
5460,-1.729
7040,0.288
4610,-1.147
7510,0.48
4940,-0.872
4520,0.187
7180,0.529
3870,-1.056
7280,-0.334
6170,0.018
6080,-0.063
5980,-0.628
5870,-0.879
7660,1.421
4060,-1.472
5950,-0.658
4770,-0.545
6710,0.483
5520,0.027
6120,2.845
7270,2.12
6070,1.282
3330,3.466
3940,0.241
6870,-0.176
4280,1.618
4900,1.072
5140,-5.893
3290,2.549
5170,-0.735
3420,0.942
4750,0.099
6840,1.729
4690,-0.376
3930,1.089
5400,-0.501
4560,0.102
7680,-0.541
5610,-0.774
4880,-0.008
7560,-0.872
6730,-0.961
6770,-0.287
5620,-1
5011,-1.065
5900,0.075
6860,-2.064
6800,-0.881
6410,-0.782
6630,1.635
6040,-0.078
4470,0.109
4680,1.24
6280,1.343
7260,1.035
5290,0.044
7380,-1.113
6270,1.084
4320,-1.524
6830,-0.285
4691,2.643
7150,-0.585
4660,-1.198
6540,2.139
6100,0.556
6620,0.55
2881,-1.561
5930,0.393
5990,0.845
4840,0.302
6670,0.583
6010,0.811
4021,0.963
3620,5.304
6420,-1.523
3850,1.471
4780,-0.294
3960,0.371
6370,-0.634
6380,2.411
5100,-1.593
7020,-1.426
5750,-2.748
4650,0.137
4812,-0.339
4430,-0.665
4290,1.411
4910,0.614
7331,0.916
7070,-0.32
4030,2.559
6650,-1.32
6340,4.307
6580,-2.521
5911,-0.251
2950,-0.519
3210,1.299
7460,-0.938
4870,-0.121
7420,-0.646
4920,-3.332
6440,-1.654
7250,2.568
7300,-0.473
5180,-2.007
4040,0.662
6050,-2.453
7520,0.311
5080,-0.189
6760,1.081
3000,0.593
4970,0.785
7221,-0.171
5940,-1.545
4010,4.508
3480,0.897
5910,-1.201
6291,1.363
3280,-1.451
7330,-1.738
5060,0.21
2940,0.503
2920,-1.591
7100,-1.903
3550,1.536
2930,2.83
3080,1.817
7360,-0.335
6450,-0.292
7290,0.201
5380,-4.02
6390,1.209
4760,-3.756
7130,-2.036
3970,1.384
6310,0.926
6883,6.165
2882,3.688
7410,-0.968
7350,0.999
4110,-0.378
5000,3.299
4100,-0.614
4070,1.077
3430,1.012
7170,0.888
5800,-1.131
4000,2.557
3090,-1.823
5860,-0.285
7060,6.415
6590,-0.622
7310,1.226
4140,-1.875
7400,1.069
3050,7.515
4830,11.577
5920,1.014
5470,2.77
7110,-2.661
2971,0.317
6740,-0.292
6690,-0.346
7120,0.172
2970,2.464
6790,-0.94
5310,0.103
3350,-2.236
3990,1.326
4330,-1.608
6240,0.859
5450,-2.137
7430,-0.666
7000,-1.764
5390,-3.813
3950,-3.2
5130,-0.464
4360,0.558
4080,-1.6
